first equation passed
second equation passed
third equation passed
4 <http://ip/10580> <http://vector-a-score> "0.000571849666497"
5 <http://ip/11016> <http://vector-a-score> "0.000157751632137"
6 <http://ip/10581> <http://vector-a-score> "0.000571849666497"
7 <http://ip/10371> <http://vector-a-score> "0.000512692804446"
8 <http://ip/12538> <http://vector-a-score> "0.000354022380395"
9 <http://ip/11342> <http://vector-a-score> "0.000236627448206"
10 <http://ip/11054> <http://vector-a-score> "1.97189540171e-05"
11 <http://ip/29792> <http://vector-a-score> "0.000315503264274"
12 <http://ip/11052> <http://vector-a-score> "0.000157751632137"
13 <http://ip/1053> <http://vector-a-score> "5.91568620514e-05"
14 <http://ip/12322> <http://vector-a-score> "0.000118313724103"
15 <http://ip/10914> <http://vector-a-score> "0.000492973850429"
16 <http://ip/12672> <http://vector-a-score> "0.000197189540171"
17 <http://ip/12444> <http://vector-a-score> "1.97189540171e-05"
18 <http://ip/11061> <http://vector-a-score> "1.97189540171e-05"
19 <http://ip/12685> <http://vector-a-score> "0.000315503264274"
20 <http://ip/11017> <http://vector-a-score> "0.000157751632137"
21 <http://ip/10857> <http://vector-a-score> "0.00013803267812"
22 <http://ip/10298> <http://vector-a-score> "4.81488951509e-06"
23 <http://ip/10801> <http://vector-a-score> "5.91568620514e-05"
24 <http://ip/11043> <http://vector-a-score> "3.94379080343e-05"
25 <http://ip/12329> <http://vector-a-score> "5.91568620514e-05"
26 <http://ip/12327> <http://vector-a-score> "7.88758160686e-05"
27 <http://ip/10136> <http://vector-a-score> "7.88758160686e-05"
28 <http://ip/11093> <http://vector-a-score> "7.88758160686e-05"
29 <http://ip/10963> <http://vector-a-score> "5.91568620514e-05"
30 <http://ip/10281> <http://vector-a-score> "5.91568620514e-05"
31 <http://ip/10964> <http://vector-a-score> "3.94379080343e-05"
32 <http://ip/10728> <http://vector-a-score> "1.97189540171e-05"
33 <http://ip/10204> <http://vector-a-score> "1.97189540171e-05"
34 <http://ip/12239> <http://vector-a-score> "3.94379080343e-05"
35 <http://ip/10486> <http://vector-a-score> "1.97189540171e-05"
36 <http://ip/12328> <http://vector-a-score> "1.97189540171e-05"
37 <http://ip/12677> <http://vector-a-score> "3.94379080343e-05"
38 <http://ip/10205> <http://vector-a-score> "1.97189540171e-05"
39 <http://ip/11542> <http://vector-a-score> "1.97189540171e-05"
40 <http://ip/1253> <http://vector-a-score> "1.97189540171e-05"
41 <http://ip/10960> <http://vector-a-score> "1.97189540171e-05"
42 <http://ip/10632> <http://vector-a-score> "1.97189540171e-05"
43 <http://ip/10621> <http://vector-a-score> "1.97189540171e-05"
44 <http://ip/10289> <http://vector-a-score> "1.97189540171e-05"
45 <http://ip/10915> <http://vector-b-score> "0.0421929337393"
46 <http://ip/10136> <http://vector-b-score> "0.00562572449857"
47 <http://ip/10298> <http://vector-b-score> "0.000703215562322"
48 <http://ip/11052> <http://vector-b-score> "0.00562572449857"
49 <http://ip/10915> <http://vector-c-score> "0.00146241045632"
50 <http://ip/11052> <http://vector-c-score> "0.000974940304211"
51 <http://ip/10298> <http://vector-c-score> "1.48785460568e-05"
52 <http://ip/10136> <http://vector-c-score> "0.000487470152106"
done with iterNo 10
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/11342> <http://vector-a-score> "0.00604652597922"
1 <http://ip/11017> <http://vector-a-score> "0.00403101731948"
2 <http://ip/10581> <http://vector-a-score> "0.0146124377831"
3 <http://ip/10915> <http://vector-a-score> "0.0453489448442"
4 <http://ip/11339> <http://vector-a-score> "0.0725583117507"
5 <http://ip/10914> <http://vector-a-score> "0.0125969291234"
6 <http://ip/10582> <http://vector-a-score> "0.0141085606182"
7 <http://ip/12418> <http://vector-a-score> "0.0362791558753"
8 <http://ip/11016> <http://vector-a-score> "0.00403101731948"
9 <http://ip/10371> <http://vector-a-score> "0.0131008062883"
10 <http://ip/29792> <http://vector-a-score> "0.00806203463896"
11 <http://ip/12538> <http://vector-a-score> "0.0534168204157"
12 <http://ip/11093> <http://vector-a-score> "0.00201550865974"
13 <http://ip/10136> <http://vector-a-score> "0.00201550865974"
14 <http://ip/10580> <http://vector-a-score> "0.0146124377831"
15 <http://ip/11054> <http://vector-a-score> "0.000503877164935"
16 <http://ip/11043> <http://vector-a-score> "0.00100775432987"
17 <http://ip/12672> <http://vector-a-score> "0.00503877164935"
18 <http://ip/12322> <http://vector-a-score> "0.00302326298961"
19 <http://ip/12327> <http://vector-a-score> "0.00201550865974"
20 <http://ip/12677> <http://vector-a-score> "0.00100775432987"
21 <http://ip/10857> <http://vector-a-score> "0.00352714015455"
22 <http://ip/12685> <http://vector-a-score> "0.00806203463896"
23 <http://ip/11052> <http://vector-a-score> "0.00403101731948"
24 <http://ip/12329> <http://vector-a-score> "0.00151163149481"
25 <http://ip/1053> <http://vector-a-score> "0.00151163149481"
26 <http://ip/10621> <http://vector-a-score> "0.000503877164935"
27 <http://ip/12328> <http://vector-a-score> "0.000503877164935"
28 <http://ip/10963> <http://vector-a-score> "0.00151163149481"
29 <http://ip/10801> <http://vector-a-score> "0.00151163149481"
30 <http://ip/10204> <http://vector-a-score> "0.000503877164935"
31 <http://ip/11542> <http://vector-a-score> "0.000503877164935"
32 <http://ip/10281> <http://vector-a-score> "0.00151163149481"
33 <http://ip/10205> <http://vector-a-score> "0.000503877164935"
34 <http://ip/10964> <http://vector-a-score> "0.00100775432987"
35 <http://ip/10728> <http://vector-a-score> "0.000503877164935"
36 <http://ip/10298> <http://vector-a-score> "0.00566934822209"
37 <http://ip/10486> <http://vector-a-score> "0.000503877164935"
38 <http://ip/10632> <http://vector-a-score> "0.000503877164935"
39 <http://ip/10960> <http://vector-a-score> "0.000503877164935"
40 <http://ip/12444> <http://vector-a-score> "0.000503877164935"
41 <http://ip/12239> <http://vector-a-score> "0.00100775432987"
42 <http://ip/1253> <http://vector-a-score> "0.000503877164935"
43 <http://ip/11061> <http://vector-a-score> "0.000503877164935"
44 <http://ip/10289> <http://vector-a-score> "0.000503877164935"
45 <http://ip/10915> <http://vector-b-score> "0.0011104798513"
46 <http://ip/12538> <http://vector-b-score> "0.000148063980173"
47 <http://ip/11052> <http://vector-b-score> "0.000148063980173"
48 <http://ip/10298> <http://vector-b-score> "1.85079975216e-05"
49 <http://ip/10915> <http://vector-c-score> "5.11104123856e-05"
50 <http://ip/12538> <http://vector-c-score> "2.8220292623e-05"
51 <http://ip/10298> <http://vector-c-score> "2.39610915908e-05"
52 <http://ip/10136> <http://vector-c-score> "1.70368041285e-05"
done with iterNo 11
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/10857> <http://vector-a-score> "0.0017333241357"
1 <http://ip/11339> <http://vector-a-score> "0.0356569536486"
2 <http://ip/10284> <http://vector-a-score> "0.0247617733671"
3 <http://ip/10915> <http://vector-a-score> "0.0222855960304"
4 <http://ip/12672> <http://vector-a-score> "0.00247617733671"
5 <http://ip/10371> <http://vector-a-score> "0.00643806107544"
6 <http://ip/10582> <http://vector-a-score> "0.00693329654278"
7 <http://ip/12418> <http://vector-a-score> "0.0178284768243"
8 <http://ip/29792> <http://vector-a-score> "0.00396188373873"
9 <http://ip/10914> <http://vector-a-score> "0.00619044334177"
10 <http://ip/10136> <http://vector-a-score> "0.000990470934683"
11 <http://ip/11342> <http://vector-a-score> "0.00297141280405"
12 <http://ip/10581> <http://vector-a-score> "0.00718091427645"
13 <http://ip/10281> <http://vector-a-score> "0.000742853201012"
14 <http://ip/12538> <http://vector-a-score> "0.0262503501482"
15 <http://ip/1253> <http://vector-a-score> "0.000247617733671"
16 <http://ip/10580> <http://vector-a-score> "0.00718091427645"
17 <http://ip/11093> <http://vector-a-score> "0.000990470934683"
18 <http://ip/12327> <http://vector-a-score> "0.000990470934683"
19 <http://ip/12685> <http://vector-a-score> "0.00396188373873"
20 <http://ip/1053> <http://vector-a-score> "0.000742853201012"
21 <http://ip/12677> <http://vector-a-score> "0.000495235467342"
22 <http://ip/12329> <http://vector-a-score> "0.000742853201012"
23 <http://ip/11016> <http://vector-a-score> "0.00198094186937"
24 <http://ip/12239> <http://vector-a-score> "0.000495235467342"
25 <http://ip/12444> <http://vector-a-score> "0.000247617733671"
26 <http://ip/10205> <http://vector-a-score> "0.000247617733671"
27 <http://ip/10298> <http://vector-a-score> "0.00278605830118"
28 <http://ip/10621> <http://vector-a-score> "0.000247617733671"
29 <http://ip/11052> <http://vector-a-score> "0.00198094186937"
30 <http://ip/12322> <http://vector-a-score> "0.00148570640202"
31 <http://ip/10486> <http://vector-a-score> "0.000247617733671"
32 <http://ip/10963> <http://vector-a-score> "0.000742853201012"
33 <http://ip/10964> <http://vector-a-score> "0.000495235467342"
34 <http://ip/10728> <http://vector-a-score> "0.000247617733671"
35 <http://ip/10632> <http://vector-a-score> "0.000247617733671"
36 <http://ip/10801> <http://vector-a-score> "0.000742853201012"
37 <http://ip/10289> <http://vector-a-score> "0.000247617733671"
38 <http://ip/11054> <http://vector-a-score> "0.000247617733671"
39 <http://ip/12328> <http://vector-a-score> "0.000247617733671"
40 <http://ip/11542> <http://vector-a-score> "0.000247617733671"
41 <http://ip/11043> <http://vector-a-score> "0.000495235467342"
42 <http://ip/10960> <http://vector-a-score> "0.000247617733671"
43 <http://ip/11061> <http://vector-a-score> "0.000247617733671"
44 <http://ip/10204> <http://vector-a-score> "0.000247617733671"
45 <http://ip/10136> <http://vector-b-score> "0.00496205655726"
46 <http://ip/10298> <http://vector-b-score> "0.000620257069657"
47 <http://ip/12538> <http://vector-b-score> "0.00496205655726"
48 <http://ip/11052> <http://vector-b-score> "0.00496205655726"
49 <http://ip/12538> <http://vector-c-score> "0.000722109285112"
50 <http://ip/10298> <http://vector-c-score> "0.000613123575659"
51 <http://ip/11052> <http://vector-c-score> "0.000871885675618"
52 <http://ip/10136> <http://vector-c-score> "0.000435942837809"
done with iterNo 12
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/12418> <http://vector-a-score> "0.0100210122089"
1 <http://ip/10580> <http://vector-a-score> "0.0040362410286"
2 <http://ip/10582> <http://vector-a-score> "0.00389706030347"
3 <http://ip/10136> <http://vector-a-score> "0.000556722900496"
4 <http://ip/11339> <http://vector-a-score> "0.0200420244179"
5 <http://ip/10284> <http://vector-a-score> "0.0139180725124"
6 <http://ip/10371> <http://vector-a-score> "0.00361869885322"
7 <http://ip/10914> <http://vector-a-score> "0.0034795181281"
8 <http://ip/11093> <http://vector-a-score> "0.000556722900496"
9 <http://ip/12239> <http://vector-a-score> "0.000278361450248"
10 <http://ip/29792> <http://vector-a-score> "0.00222689160198"
11 <http://ip/12538> <http://vector-a-score> "0.0132768536779"
12 <http://ip/10915> <http://vector-a-score> "0.0125262652612"
13 <http://ip/12672> <http://vector-a-score> "0.00139180725124"
14 <http://ip/10857> <http://vector-a-score> "0.000974265075868"
15 <http://ip/10801> <http://vector-a-score> "0.000417542175372"
16 <http://ip/12322> <http://vector-a-score> "0.000835084350744"
17 <http://ip/11017> <http://vector-a-score> "0.00111344580099"
18 <http://ip/1253> <http://vector-a-score> "0.000139180725124"
19 <http://ip/10728> <http://vector-a-score> "0.000139180725124"
20 <http://ip/10298> <http://vector-a-score> "0.00138124525949"
21 <http://ip/12444> <http://vector-a-score> "0.000139180725124"
22 <http://ip/11342> <http://vector-a-score> "0.00167016870149"
23 <http://ip/12685> <http://vector-a-score> "0.00222689160198"
24 <http://ip/10963> <http://vector-a-score> "0.000417542175372"
25 <http://ip/1053> <http://vector-a-score> "0.000417542175372"
26 <http://ip/11052> <http://vector-a-score> "0.00111344580099"
27 <http://ip/11016> <http://vector-a-score> "0.00111344580099"
28 <http://ip/10281> <http://vector-a-score> "0.000417542175372"
29 <http://ip/11061> <http://vector-a-score> "0.000139180725124"
30 <http://ip/10960> <http://vector-a-score> "0.000139180725124"
31 <http://ip/10964> <http://vector-a-score> "0.000278361450248"
32 <http://ip/12327> <http://vector-a-score> "0.000556722900496"
33 <http://ip/10289> <http://vector-a-score> "0.000139180725124"
34 <http://ip/12677> <http://vector-a-score> "0.000278361450248"
35 <http://ip/12329> <http://vector-a-score> "0.000417542175372"
36 <http://ip/10486> <http://vector-a-score> "0.000139180725124"
37 <http://ip/10205> <http://vector-a-score> "0.000139180725124"
38 <http://ip/10621> <http://vector-a-score> "0.000139180725124"
39 <http://ip/12328> <http://vector-a-score> "0.000139180725124"
40 <http://ip/11043> <http://vector-a-score> "0.000278361450248"
41 <http://ip/11542> <http://vector-a-score> "0.000139180725124"
42 <http://ip/10632> <http://vector-a-score> "0.000139180725124"
43 <http://ip/11054> <http://vector-a-score> "0.000139180725124"
44 <http://ip/10204> <http://vector-a-score> "0.000139180725124"
45 <http://ip/12538> <http://vector-b-score> "0.00243854630771"
46 <http://ip/11052> <http://vector-b-score> "0.00243854630771"
47 <http://ip/10136> <http://vector-b-score> "0.00243854630771"
48 <http://ip/10298> <http://vector-b-score> "0.000304818288463"
49 <http://ip/10298> <http://vector-c-score> "0.000265686564185"
50 <http://ip/11052> <http://vector-c-score> "0.000428349110687"
51 <http://ip/12538> <http://vector-c-score> "0.000319230203021"
52 <http://ip/10915> <http://vector-c-score> "0.00064252366603"
done with iterNo 13
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/11339> <http://vector-a-score> "0.0114942370907"
1 <http://ip/10284> <http://vector-a-score> "0.00798210909077"
2 <http://ip/10582> <http://vector-a-score> "0.00223499054542"
3 <http://ip/10580> <http://vector-a-score> "0.00231481163632"
4 <http://ip/10914> <http://vector-a-score> "0.00199552727269"
5 <http://ip/11017> <http://vector-a-score> "0.000638568727262"
6 <http://ip/10581> <http://vector-a-score> "0.00231481163632"
7 <http://ip/10281> <http://vector-a-score> "0.000239463272723"
8 <http://ip/12418> <http://vector-a-score> "0.00574711854535"
9 <http://ip/12685> <http://vector-a-score> "0.00127713745452"
10 <http://ip/10371> <http://vector-a-score> "0.0020753483636"
11 <http://ip/10857> <http://vector-a-score> "0.000558747636354"
12 <http://ip/11342> <http://vector-a-score> "0.000957853090892"
13 <http://ip/1253> <http://vector-a-score> "7.98210909077e-05"
14 <http://ip/11016> <http://vector-a-score> "0.000638568727262"
15 <http://ip/12538> <http://vector-a-score> "0.00439149627869"
16 <http://ip/12322> <http://vector-a-score> "0.000478926545446"
17 <http://ip/29792> <http://vector-a-score> "0.00127713745452"
18 <http://ip/12444> <http://vector-a-score> "7.98210909077e-05"
19 <http://ip/12677> <http://vector-a-score> "0.000159642181815"
20 <http://ip/10204> <http://vector-a-score> "7.98210909077e-05"
21 <http://ip/10486> <http://vector-a-score> "7.98210909077e-05"
22 <http://ip/10728> <http://vector-a-score> "7.98210909077e-05"
23 <http://ip/11061> <http://vector-a-score> "7.98210909077e-05"
24 <http://ip/12327> <http://vector-a-score> "0.000319284363631"
25 <http://ip/12672> <http://vector-a-score> "0.000798210909077"
26 <http://ip/12329> <http://vector-a-score> "0.000239463272723"
27 <http://ip/10964> <http://vector-a-score> "0.000159642181815"
28 <http://ip/12239> <http://vector-a-score> "0.000159642181815"
29 <http://ip/11542> <http://vector-a-score> "7.98210909077e-05"
30 <http://ip/11052> <http://vector-a-score> "0.000638568727262"
31 <http://ip/1053> <http://vector-a-score> "0.000239463272723"
32 <http://ip/10136> <http://vector-a-score> "0.000319284363631"
33 <http://ip/11043> <http://vector-a-score> "0.000159642181815"
34 <http://ip/11093> <http://vector-a-score> "0.000319284363631"
35 <http://ip/12328> <http://vector-a-score> "7.98210909077e-05"
36 <http://ip/10298> <http://vector-a-score> "0.000389294853021"
37 <http://ip/10963> <http://vector-a-score> "0.000239463272723"
38 <http://ip/10801> <http://vector-a-score> "0.000239463272723"
39 <http://ip/10960> <http://vector-a-score> "7.98210909077e-05"
40 <http://ip/10632> <http://vector-a-score> "7.98210909077e-05"
41 <http://ip/10205> <http://vector-a-score> "7.98210909077e-05"
42 <http://ip/11054> <http://vector-a-score> "7.98210909077e-05"
43 <http://ip/10621> <http://vector-a-score> "7.98210909077e-05"
44 <http://ip/10289> <http://vector-a-score> "7.98210909077e-05"
45 <http://ip/11052> <http://vector-b-score> "0.00137066404753"
46 <http://ip/12538> <http://vector-b-score> "0.00137066404753"
47 <http://ip/10298> <http://vector-b-score> "0.000171333005942"
48 <http://ip/10136> <http://vector-b-score> "0.00137066404753"
49 <http://ip/11052> <http://vector-c-score> "0.000240687776657"
50 <http://ip/12538> <http://vector-c-score> "0.000103452008217"
51 <http://ip/10298> <http://vector-c-score> "7.33660361347e-05"
52 <http://ip/10136> <http://vector-c-score> "0.000120343888328"
done with iterNo 14
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/11339> <http://vector-a-score> "0.0327491098602"
1 <http://ip/10284> <http://vector-a-score> "0.0227424374029"
2 <http://ip/12418> <http://vector-a-score> "0.0163745549301"
3 <http://ip/12672> <http://vector-a-score> "0.00227424374029"
4 <http://ip/12329> <http://vector-a-score> "0.000682273122087"
5 <http://ip/10580> <http://vector-a-score> "0.00659530684684"
6 <http://ip/10914> <http://vector-a-score> "0.00568560935073"
7 <http://ip/11052> <http://vector-a-score> "0.00181939499223"
8 <http://ip/10582> <http://vector-a-score> "0.00636788247281"
9 <http://ip/10801> <http://vector-a-score> "0.000682273122087"
10 <http://ip/10581> <http://vector-a-score> "0.00659530684684"
11 <http://ip/12677> <http://vector-a-score> "0.000454848748058"
12 <http://ip/10136> <http://vector-a-score> "0.000909697496116"
13 <http://ip/10915> <http://vector-a-score> "0.0204681936626"
14 <http://ip/1053> <http://vector-a-score> "0.000682273122087"
15 <http://ip/10963> <http://vector-a-score> "0.000682273122087"
16 <http://ip/12685> <http://vector-a-score> "0.00363878998446"
17 <http://ip/10298> <http://vector-a-score> "0.000623444826027"
18 <http://ip/11017> <http://vector-a-score> "0.00181939499223"
19 <http://ip/10857> <http://vector-a-score> "0.0015919706182"
20 <http://ip/29792> <http://vector-a-score> "0.00363878998446"
21 <http://ip/11342> <http://vector-a-score> "0.00272909248835"
22 <http://ip/10728> <http://vector-a-score> "0.000227424374029"
23 <http://ip/10486> <http://vector-a-score> "0.000227424374029"
24 <http://ip/10371> <http://vector-a-score> "0.00591303372476"
25 <http://ip/11016> <http://vector-a-score> "0.00181939499223"
26 <http://ip/10960> <http://vector-a-score> "0.000227424374029"
27 <http://ip/11542> <http://vector-a-score> "0.000227424374029"
28 <http://ip/12239> <http://vector-a-score> "0.000454848748058"
29 <http://ip/12327> <http://vector-a-score> "0.000909697496116"
30 <http://ip/10281> <http://vector-a-score> "0.000682273122087"
31 <http://ip/10205> <http://vector-a-score> "0.000227424374029"
32 <http://ip/12322> <http://vector-a-score> "0.00136454624417"
33 <http://ip/11093> <http://vector-a-score> "0.000909697496116"
34 <http://ip/10964> <http://vector-a-score> "0.000454848748058"
35 <http://ip/11043> <http://vector-a-score> "0.000454848748058"
36 <http://ip/10204> <http://vector-a-score> "0.000227424374029"
37 <http://ip/10632> <http://vector-a-score> "0.000227424374029"
38 <http://ip/11061> <http://vector-a-score> "0.000227424374029"
39 <http://ip/10289> <http://vector-a-score> "0.000227424374029"
40 <http://ip/12444> <http://vector-a-score> "0.000227424374029"
41 <http://ip/10621> <http://vector-a-score> "0.000227424374029"
42 <http://ip/11054> <http://vector-a-score> "0.000227424374029"
43 <http://ip/12328> <http://vector-a-score> "0.000227424374029"
44 <http://ip/1253> <http://vector-a-score> "0.000227424374029"
45 <http://ip/12538> <http://vector-b-score> "0.000786086632568"
46 <http://ip/10136> <http://vector-b-score> "0.000786086632566"
47 <http://ip/11052> <http://vector-b-score> "0.000786086632566"
48 <http://ip/10298> <http://vector-b-score> "9.8260829071e-05"
49 <http://ip/11052> <http://vector-c-score> "0.000138117202862"
50 <http://ip/10915> <http://vector-c-score> "0.000207175804292"
51 <http://ip/10298> <http://vector-c-score> "2.36640355385e-05"
52 <http://ip/10136> <http://vector-c-score> "6.90586014308e-05"
done with iterNo 15
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/10371> <http://vector-a-score> "0.0277587786787"
1 <http://ip/10915> <http://vector-a-score> "0.0960880800416"
2 <http://ip/11339> <http://vector-a-score> "0.153740928067"
3 <http://ip/10581> <http://vector-a-score> "0.0309617146801"
4 <http://ip/12685> <http://vector-a-score> "0.0170823253407"
5 <http://ip/10914> <http://vector-a-score> "0.0266911333449"
6 <http://ip/12418> <http://vector-a-score> "0.0768704640333"
7 <http://ip/10284> <http://vector-a-score> "0.10676453338"
8 <http://ip/11016> <http://vector-a-score> "0.00854116267036"
9 <http://ip/12328> <http://vector-a-score> "0.0010676453338"
10 <http://ip/10580> <http://vector-a-score> "0.0309617146801"
11 <http://ip/10582> <http://vector-a-score> "0.0298940693463"
12 <http://ip/11017> <http://vector-a-score> "0.00854116267036"
13 <http://ip/29792> <http://vector-a-score> "0.0170823253407"
14 <http://ip/11342> <http://vector-a-score> "0.0128117440055"
15 <http://ip/10281> <http://vector-a-score> "0.00320293600139"
16 <http://ip/10963> <http://vector-a-score> "0.00320293600139"
17 <http://ip/10857> <http://vector-a-score> "0.00747351733657"
18 <http://ip/11542> <http://vector-a-score> "0.0010676453338"
19 <http://ip/10621> <http://vector-a-score> "0.0010676453338"
20 <http://ip/12672> <http://vector-a-score> "0.010676453338"
21 <http://ip/12327> <http://vector-a-score> "0.00427058133518"
22 <http://ip/12538> <http://vector-a-score> "0.0305105129442"
23 <http://ip/1053> <http://vector-a-score> "0.00320293600139"
24 <http://ip/11043> <http://vector-a-score> "0.00213529066759"
25 <http://ip/11093> <http://vector-a-score> "0.00427058133518"
26 <http://ip/11061> <http://vector-a-score> "0.0010676453338"
27 <http://ip/10205> <http://vector-a-score> "0.0010676453338"
28 <http://ip/10204> <http://vector-a-score> "0.0010676453338"
29 <http://ip/10964> <http://vector-a-score> "0.00213529066759"
30 <http://ip/11052> <http://vector-a-score> "0.00854116267036"
31 <http://ip/12329> <http://vector-a-score> "0.00320293600139"
32 <http://ip/12322> <http://vector-a-score> "0.00640587200277"
33 <http://ip/10298> <http://vector-a-score> "0.00167852345044"
34 <http://ip/12444> <http://vector-a-score> "0.0010676453338"
35 <http://ip/10801> <http://vector-a-score> "0.00320293600139"
36 <http://ip/12239> <http://vector-a-score> "0.00213529066759"
37 <http://ip/12677> <http://vector-a-score> "0.00213529066759"
38 <http://ip/11054> <http://vector-a-score> "0.0010676453338"
39 <http://ip/10486> <http://vector-a-score> "0.0010676453338"
40 <http://ip/10960> <http://vector-a-score> "0.0010676453338"
41 <http://ip/1253> <http://vector-a-score> "0.0010676453338"
42 <http://ip/10632> <http://vector-a-score> "0.0010676453338"
43 <http://ip/10289> <http://vector-a-score> "0.0010676453338"
44 <http://ip/10728> <http://vector-a-score> "0.0010676453338"
45 <http://ip/10136> <http://vector-b-score> "0.00223968468375"
46 <http://ip/12538> <http://vector-b-score> "0.00223968468375"
47 <http://ip/10298> <http://vector-b-score> "0.000279960585469"
48 <http://ip/11052> <http://vector-b-score> "0.00223968468375"
49 <http://ip/10915> <http://vector-c-score> "0.000590285415545"
50 <http://ip/12538> <http://vector-c-score> "8.78584075088e-05"
51 <http://ip/10298> <http://vector-c-score> "3.86679562133e-05"
52 <http://ip/11052> <http://vector-c-score> "0.000393523610364"
done with iterNo 16
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/10136> <http://vector-a-score> "3.74655568242e-05"
1 <http://ip/10915> <http://vector-a-score> "0.000842975028545"
2 <http://ip/12418> <http://vector-a-score> "0.000674380022836"
3 <http://ip/12538> <http://vector-a-score> "0.000485506362446"
4 <http://ip/11016> <http://vector-a-score> "7.49311136484e-05"
5 <http://ip/10960> <http://vector-a-score> "9.36638920606e-06"
6 <http://ip/11339> <http://vector-a-score> "0.00134876004567"
7 <http://ip/12672> <http://vector-a-score> "9.36638920606e-05"
8 <http://ip/10632> <http://vector-a-score> "9.36638920606e-06"
9 <http://ip/10580> <http://vector-a-score> "0.000271625286976"
10 <http://ip/10581> <http://vector-a-score> "0.000271625286976"
11 <http://ip/10371> <http://vector-a-score> "0.000243526119357"
12 <http://ip/11342> <http://vector-a-score> "0.000112396670473"
13 <http://ip/10582> <http://vector-a-score> "0.00026225889777"
14 <http://ip/29792> <http://vector-a-score> "0.000149862227297"
15 <http://ip/11061> <http://vector-a-score> "9.36638920606e-06"
16 <http://ip/11052> <http://vector-a-score> "7.49311136484e-05"
17 <http://ip/11017> <http://vector-a-score> "7.49311136484e-05"
18 <http://ip/11542> <http://vector-a-score> "9.36638920606e-06"
19 <http://ip/10914> <http://vector-a-score> "0.000234159730151"
20 <http://ip/10857> <http://vector-a-score> "6.55647244424e-05"
21 <http://ip/12685> <http://vector-a-score> "0.000149862227297"
22 <http://ip/12322> <http://vector-a-score> "5.61983352363e-05"
23 <http://ip/1053> <http://vector-a-score> "2.80991676182e-05"
24 <http://ip/12444> <http://vector-a-score> "9.36638920606e-06"
25 <http://ip/10205> <http://vector-a-score> "9.36638920606e-06"
26 <http://ip/12328> <http://vector-a-score> "9.36638920606e-06"
27 <http://ip/11093> <http://vector-a-score> "3.74655568242e-05"
28 <http://ip/12239> <http://vector-a-score> "1.87327784121e-05"
29 <http://ip/10964> <http://vector-a-score> "1.87327784121e-05"
30 <http://ip/11054> <http://vector-a-score> "9.36638920606e-06"
31 <http://ip/10801> <http://vector-a-score> "2.80991676182e-05"
32 <http://ip/10728> <http://vector-a-score> "9.36638920606e-06"
33 <http://ip/1253> <http://vector-a-score> "9.36638920606e-06"
34 <http://ip/10298> <http://vector-a-score> "4.19555168937e-05"
35 <http://ip/12677> <http://vector-a-score> "1.87327784121e-05"
36 <http://ip/10621> <http://vector-a-score> "9.36638920606e-06"
37 <http://ip/10281> <http://vector-a-score> "2.80991676182e-05"
38 <http://ip/12327> <http://vector-a-score> "3.74655568242e-05"
39 <http://ip/12329> <http://vector-a-score> "2.80991676182e-05"
40 <http://ip/10289> <http://vector-a-score> "9.36638920606e-06"
41 <http://ip/11043> <http://vector-a-score> "1.87327784121e-05"
42 <http://ip/10963> <http://vector-a-score> "2.80991676182e-05"
43 <http://ip/10486> <http://vector-a-score> "9.36638920606e-06"
44 <http://ip/10204> <http://vector-a-score> "9.36638920606e-06"
45 <http://ip/12538> <http://vector-b-score> "0.00223944836154"
46 <http://ip/11052> <http://vector-b-score> "0.0105131061861"
47 <http://ip/10136> <http://vector-b-score> "0.0105131061861"
48 <http://ip/10298> <http://vector-b-score> "0.000279931045193"
49 <http://ip/11052> <http://vector-c-score> "0.00184646838619"
50 <http://ip/12538> <http://vector-c-score> "0.000159281242131"
51 <http://ip/10136> <http://vector-c-score> "0.000923234193095"
52 <http://ip/10298> <http://vector-c-score> "0.000110115580136"
done with iterNo 17
first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/10915> <http://vector-a-score> "0.311635088741"
1 <http://ip/11339> <http://vector-a-score> "0.498616141986"
2 <http://ip/11052> <http://vector-a-score> "0.027700896777"
3 <http://ip/10289> <http://vector-a-score> "0.00346261209712"
4 <http://ip/12538> <http://vector-a-score> "0.637846732087"
5 <http://ip/12418> <http://vector-a-score> "0.249308070993"
6 <http://ip/10580> <http://vector-a-score> "0.100415750817"
7 <http://ip/10284> <http://vector-a-score> "0.346261209712"
8 <http://ip/11016> <http://vector-a-score> "0.027700896777"
9 <http://ip/10371> <http://vector-a-score> "0.0900279145252"
10 <http://ip/10914> <http://vector-a-score> "0.0865653024281"
11 <http://ip/10281> <http://vector-a-score> "0.0103878362914"
12 <http://ip/29792> <http://vector-a-score> "0.055401793554"
13 <http://ip/11342> <http://vector-a-score> "0.0415513451655"
14 <http://ip/12322> <http://vector-a-score> "0.0207756725827"
